service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AUG21-MVS-BUS-Holiday-01,0,0,0,1,0,0,0,20211125,20211125
AUG21-MVS-BUS-Reduced-01,0,0,0,0,1,0,0,20211126,20211126
AUG21-MVS-BUS-Saturday-01,0,0,0,0,0,1,0,20211106,20211127
AUG21-MVS-BUS-Sunday-01,0,0,0,0,0,0,1,20211107,20211128
AUG21-MVS-BUS-Weekday-01,1,1,1,1,1,0,0,20211108,20211203
AUG21-MVS-BUS-Weekday-05,0,0,0,0,1,0,0,20211119,20211119
AUG21-MVS-BUS-Weekday-05-00005,0,0,0,0,1,0,0,20211119,20211119
AUG21-MVS-BUS-Weekday-06,0,0,1,0,0,0,0,20211124,20211124
AUG21-MVS-BUS-Weekday-06-00003,0,0,1,0,0,0,0,20211124,20211124
AUG21-MVS-MTS-Holiday-01,0,0,0,1,0,0,0,20211125,20211125
AUG21-MVS-MTS-Reduced-01,0,0,0,0,1,0,0,20211126,20211126
AUG21-MVS-MTS-Saturday-01,0,0,0,0,0,1,0,20211106,20211127
AUG21-MVS-MTS-Sunday-01,0,0,0,0,0,0,1,20211107,20211128
AUG21-MVS-MTS-Weekday-01,1,1,1,1,1,0,0,20211108,20211203
AUG21-MVS-NS-Reduced-01,0,0,0,0,1,0,0,20211126,20211126
AUG21-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20211108,20211203
AUG21-MVS-SUB-Reduced-01,0,0,0,0,1,0,0,20211126,20211126
AUG21-MVS-SUB-Weekday-01,1,1,1,1,1,0,0,20211108,20211203
AUG21-MVS-UM-Saturday-01,0,0,0,0,0,1,0,20211106,20211127
AUG21-MVS-UM-Sunday-01,0,0,0,0,0,0,1,20211107,20211128
AUG21-MVS-UM-Weekday-01,1,1,1,1,1,0,0,20211108,20211203
AUG21-RAIL-Holiday-03,0,0,0,1,0,0,0,20211125,20211125
AUG21-RAIL-Reduced-02,0,0,0,0,1,0,0,20211126,20211126
AUG21-RAIL-Saturday-02,0,0,0,0,0,1,0,20211106,20211127
AUG21-RAIL-Sunday-02,0,0,0,0,0,0,1,20211107,20211128
AUG21-RAIL-Weekday-02,1,1,1,1,1,0,0,20211108,20211203
DEC21-MVS-BUS-Reduced-01,0,0,0,0,1,0,0,20211224,20211224
DEC21-MVS-BUS-Saturday-01,0,0,0,0,0,1,0,20211204,20211218
DEC21-MVS-BUS-Sunday-01,0,0,0,0,0,0,1,20211205,20211219
DEC21-MVS-BUS-Weekday-01,1,1,1,1,1,0,0,20211206,20211217
DEC21-MVS-BUS-Weekday-02,1,1,0,0,0,0,0,20211220,20211221
DEC21-MVS-BUS-Weekday-02-00012,1,1,0,0,0,0,0,20211220,20211221
DEC21-MVS-BUS-Weekday-03,0,0,1,0,0,0,0,20211222,20211222
DEC21-MVS-BUS-Weekday-03-00003,0,0,1,0,0,0,0,20211222,20211222
DEC21-MVS-BUS-Weekday-04,0,0,0,1,0,0,0,20211223,20211223
DEC21-MVS-BUS-Weekday-04-00004,0,0,0,1,0,0,0,20211223,20211223
DEC21-MVS-MTS-Reduced-01,0,0,0,0,1,0,0,20211224,20211224
DEC21-MVS-MTS-Saturday-01,0,0,0,0,0,1,0,20211204,20211218
DEC21-MVS-MTS-Sunday-01,0,0,0,0,0,0,1,20211205,20211219
DEC21-MVS-MTS-Weekday-01,1,1,1,1,1,0,0,20211206,20211223
DEC21-MVS-NS-Reduced-01,0,0,0,0,1,0,0,20211224,20211224
DEC21-MVS-NS-Weekday-01,1,1,1,1,1,0,0,20211206,20211223
DEC21-MVS-SUB-Weekday-01,1,1,1,1,1,0,0,20211206,20211223
DEC21-MVS-UM-Saturday-01,0,0,0,0,0,1,0,20211204,20211218
DEC21-MVS-UM-Sunday-01,0,0,0,0,0,0,1,20211205,20211219
DEC21-MVS-UM-Weekday-01,1,1,1,1,1,0,0,20211206,20211222
DEC21-RAIL-Reduced-01,0,0,0,0,1,0,0,20211224,20211224
DEC21-RAIL-Saturday-01,0,0,0,0,0,1,0,20211204,20211218
DEC21-RAIL-Sunday-01,0,0,0,0,0,0,1,20211205,20211219
DEC21-RAIL-Weekday-01,1,1,1,1,1,0,0,20211206,20211223
