vehicle_id,vehicle_description,seated_capacity,standing_capacity,door_count,door_width,low_floor,bike_capacity,wheelchair_access,num_carriages
2050,40LFBUS,38,38,2,normal,1,2,ramp,1
2051,40LFBUS,38,38,2,normal,1,2,ramp,1
2052,40LFBUS,38,38,2,normal,1,2,ramp,1
2053,40LFBUS,38,38,2,normal,1,2,ramp,1
2054,40LFBUS,38,38,2,normal,1,2,ramp,1
2055,40LFBUS,38,38,2,normal,1,2,ramp,1
2056,40LFBUS,38,38,2,normal,1,2,ramp,1
2057,40LFBUS,38,38,2,normal,1,2,ramp,1
2058,40LFBUS,38,38,2,normal,1,2,ramp,1
2059,40LFBUS,38,38,2,normal,1,2,ramp,1
2060,40LFBUS,38,38,2,normal,1,2,ramp,1
2061,40LFBUS,38,38,2,normal,1,2,ramp,1
2062,40LFBUS,38,38,2,normal,1,2,ramp,1
2063,40LFBUS,38,38,2,normal,1,2,ramp,1
2068,40LFBUS,38,38,2,normal,1,2,ramp,1
2069,40LFBUS,38,38,2,normal,1,2,ramp,1
2070,40LFBUS,38,38,2,normal,1,2,ramp,1
2071,40LFBUS,38,38,2,normal,1,2,ramp,1
2072,40LFBUS,38,38,2,normal,1,2,ramp,1
2073,40LFBUS,38,38,2,normal,1,2,ramp,1
2074,40LFBUS,38,38,2,normal,1,2,ramp,1
2075,40LFBUS,38,38,2,normal,1,2,ramp,1
2076,40LFBUS,38,38,2,normal,1,2,ramp,1
2077,40LFBUS,38,38,2,normal,1,2,ramp,1
2078,40BRTLFBUS,34,34,2,wide,1,2,ramp,1
2079,ARTICLFBUS,57,55,2,normal,1,2,ramp,1
2080,ARTICLFBUS,57,55,2,normal,1,2,ramp,1
2081,ARTICLFBUS,57,55,2,normal,1,2,ramp,1
2082,ARTICLFBUS,57,55,2,normal,1,2,ramp,1
2083,ARTICLFBUS,57,55,2,normal,1,2,ramp,1
2084,ARTICLFBUS,57,55,2,normal,1,2,ramp,1
2085,ARTICLFBUS,57,55,2,normal,1,2,ramp,1
2086,40HFBUS,43,16,2,normal,0,2,lift,1
2087,40HFBUS,43,16,2,normal,0,2,lift,1
2088,40LFBUS,38,38,2,normal,1,2,ramp,1
2089,40LFBUS,38,38,2,normal,1,2,ramp,1
2090,40LFBUS,38,38,2,normal,1,2,ramp,1
2091,40LFBUS,38,38,2,normal,1,2,ramp,1
2092,40LFBUS,38,38,2,normal,1,2,ramp,1
2113,40HFBUS,43,16,2,normal,0,2,lift,1
2114,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2115,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2116,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2117,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2118,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2119,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2120,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2121,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2122,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2123,40LFBUS,38,38,2,normal,1,2,ramp,1
2124,40LFBUS,38,38,2,normal,1,2,ramp,1
2125,40HFBUS,43,16,2,normal,0,2,lift,1
2126,40HFBUS,43,16,2,normal,0,2,lift,1
2127,40HFBUS,43,16,2,normal,0,2,lift,1
2128,40HFBUS,43,16,2,normal,0,2,lift,1
2129,40HFBUS,43,16,2,normal,0,2,lift,1
2130,40HFBUS,43,16,2,normal,0,2,lift,1
2131,40HFBUS,43,16,2,normal,0,2,lift,1
2132,40HFBUS,43,16,2,normal,0,2,lift,1
2133,40HFBUS,43,16,2,normal,0,2,lift,1
2134,40LFBUS,38,38,2,normal,1,2,ramp,1
2167,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2168,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2169,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2170,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2171,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2172,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2173,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2174,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2175,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2176,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2177,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2178,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2179,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2180,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2181,ARTICEBRTLFBUS,48,55,3,wide,1,2,ramp,1
2182,ARTICEBRTLFBUS,48,55,3,wide,1,2,ramp,1
2183,ARTICEBRTLFBUS,48,55,3,wide,1,2,ramp,1
2184,ARTICEBRTLFBUS,48,55,3,wide,1,2,ramp,1
2185,ARTICEBRTLFBUS,48,55,3,wide,1,2,ramp,1
2186,ARTICEBRTLFBUS,48,55,3,wide,1,2,ramp,1
2187,ARTICEBRTLFBUS,48,55,3,wide,1,2,ramp,1
2188,ARTICEBRTLFBUS,48,55,3,wide,1,2,ramp,1
2189,40LFBUS,38,38,2,normal,1,2,ramp,1
2190,40LFBUS,38,38,2,normal,1,2,ramp,1
2191,40LFBUS,38,38,2,normal,1,2,ramp,1
2192,40LFBUS,38,38,2,normal,1,2,ramp,1
2193,40HFBUS,43,16,2,normal,0,2,lift,1
2194,40HFBUS,43,16,2,normal,0,2,lift,1
2195,40HFBUS,43,16,2,normal,0,2,lift,1
2196,40HFBUS,43,16,2,normal,0,2,lift,1
2197,40HFBUS,43,16,2,normal,0,2,lift,1
2198,40HFBUS,43,16,2,normal,0,2,lift,1
2199,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2200,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2201,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2202,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2203,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2204,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2205,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2216,ARTICBRTLFBUS,50,55,3,wide,1,2,ramp,1
2217,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2218,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2219,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
2220,ARTICLFBUS,58,55,2,normal,1,2,ramp,1
